score ; Cocktail ; n patient taking C ; n patient taking C and having AE ; RR 
51.2682;alimentary tract and metabolism:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;2041;19;41.8826
51.2591;antacids:2amino1phenylethanol derivatives:dermatologicals;2042;19;41.8618
51.2408;antacids:peripheral vasodilators:other dermatological preparations;2044;19;41.8205
51.2408;antacids:peripheral vasodilators:other dermatological preparations;2044;19;41.8205
51.2408;antacids:peripheral vasodilators:other dermatological preparations;2044;19;41.8205
51.2408;antacids:peripheral vasodilators:other dermatological preparations;2044;19;41.8205
51.2043;antacids:cardiovascular system:agents for dermatitis excluding corticosteroids;2048;19;41.7379
51.1952;magnesium compounds:peripheral vasodilators:dermatologicals;2049;19;41.7173
51.1952;magnesium compounds:peripheral vasodilators:dermatologicals;2049;19;41.7173
51.1952;drugs for acid related disorders:2amino1phenylethanol derivatives:dermatologicals;2049;19;41.7173
51.1952;alimentary tract and metabolism:2amino1phenylethanol derivatives:other dermatological preparations;2049;19;41.7173
51.1952;alimentary tract and metabolism:2amino1phenylethanol derivatives:other dermatological preparations;2049;19;41.7173
51.177;drugs for acid related disorders:peripheral vasodilators:other dermatological preparations;2051;19;41.6762
51.1588;magnesium compounds:cardiovascular system:other dermatological preparations;2053;19;41.6352
51.1588;magnesium compounds:cardiovascular system:other dermatological preparations;2053;19;41.6352
51.1498;alimentary tract and metabolism:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2054;19;41.6147
51.1498;alimentary tract and metabolism:peripheral vasodilators:agents for dermatitis excluding corticosteroids;2054;19;41.6147
51.1225;drugs for acid related disorders:cardiovascular system:agents for dermatitis excluding corticosteroids;2057;19;41.5534
50.9062;gonadotropinreleasing hormones:antiinfectives for systemic use;2081;19;41.0692
50.8794;antacids:peripheral vasodilators:dermatologicals;2084;19;41.0095
50.8794;antacids:peripheral vasodilators:dermatologicals;2084;19;41.0095
50.6925;antacids:cardiovascular system:other dermatological preparations;2105;19;40.596
50.6925;antacids:cardiovascular system:other dermatological preparations;2105;19;40.596
50.4987;alimentary tract and metabolism:peripheral vasodilators:other dermatological preparations;2127;19;40.1717
50.4987;alimentary tract and metabolism:peripheral vasodilators:other dermatological preparations;2127;19;40.1717
50.4987;alimentary tract and metabolism:peripheral vasodilators:other dermatological preparations;2127;19;40.1717
50.4987;alimentary tract and metabolism:peripheral vasodilators:other dermatological preparations;2127;19;40.1717
50.4114;alimentary tract and metabolism:2amino1phenylethanol derivatives:dermatologicals;2137;19;39.9817
50.2033;drugs for acid related disorders:peripheral vasodilators:dermatologicals;2161;19;39.5328
50.2033;drugs for acid related disorders:peripheral vasodilators:dermatologicals;2161;19;39.5328
49.9891;pituitary and hypothalamic hormones and analogues:betalactam antibacterials penicillins;2186;19;39.0758
49.8957;alimentary tract and metabolism:cardiovascular system:agents for dermatitis excluding corticosteroids;2197;19;38.878
49.7691;drugs for acid related disorders:cardiovascular system:other dermatological preparations;2212;19;38.6114
49.7691;drugs for acid related disorders:cardiovascular system:other dermatological preparations;2212;19;38.6114
49.7186;magnesium compounds:cardiovascular system:dermatologicals;2218;19;38.5058
49.0839;hypothalamic hormones:antibacterials for systemic use;2295;19;37.1994
49.0677;gonadotropinreleasing hormones;2297;19;37.1666
48.7707;betalactamase inhibitors;2334;19;36.5706
47.0704;hypothalamic hormones:antiinfectives for systemic use;2558;19;33.3304
46.783;systemic hormonal preparations excl sex hormones and insulins:betalactam antibacterials penicillins;2598;19;32.8105
46.0978;antacids:cardiovascular system:dermatologicals;2696;19;31.6022
44.3792;alimentary tract and metabolism:peripheral vasodilators:dermatologicals;2959;19;28.7549
43.2861;alimentary tract and metabolism:cardiovascular system:other dermatological preparations;3140;19;27.0725
43.2393;pituitary and hypothalamic hormones and analogues:antibacterials for systemic use;3148;19;27.0026
40.9578;hypothalamic hormones;3565;19;23.7936
38.853;pituitary and hypothalamic hormones and analogues:antiinfectives for systemic use;4001;19;21.1537
34.9376;magnesium compounds:2amino1phenylethanol derivatives;4968;19;16.9522
34.8907;antacids:2amino1phenylethanol derivatives;4981;19;16.9068
34.8187;drugs for acid related disorders:2amino1phenylethanol derivatives;5001;19;16.8375
34.7935;magnesium compounds:peripheral vasodilators;5008;19;16.8133
34.7935;magnesium compounds:peripheral vasodilators;5008;19;16.8133
34.7792;systemic hormonal preparations excl sex hormones and insulins:antibacterials for systemic use;5012;19;16.7996
34.5974;2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;5063;19;16.626
34.5443;2amino1phenylethanol derivatives:other dermatological preparations;5078;19;16.5756
34.5443;2amino1phenylethanol derivatives:other dermatological preparations;5078;19;16.5756
34.5231;peripheral vasodilators:agents for dermatitis excluding corticosteroids;5084;19;16.5555
34.5231;peripheral vasodilators:agents for dermatitis excluding corticosteroids;5084;19;16.5555
34.4878;magnesium compounds:agents for dermatitis excluding corticosteroids;5094;19;16.5222
34.4315;antacids:agents for dermatitis excluding corticosteroids;5110;19;16.4691
34.3825;magnesium compounds:other dermatological preparations;5124;19;16.4229
34.3825;magnesium compounds:other dermatological preparations;5124;19;16.4229
34.3405;drugs for acid related disorders:agents for dermatitis excluding corticosteroids;5136;19;16.3835
34.323;antacids:peripheral vasodilators;5141;19;16.3672
33.988;antacids:other dermatological preparations;5238;19;16.0561
33.988;antacids:other dermatological preparations;5238;19;16.0561
33.9743;alimentary tract and metabolism:2amino1phenylethanol derivatives;5242;19;16.0435
33.9504;2amino1phenylethanol derivatives:dermatologicals;5249;19;16.0215
33.9402;peripheral vasodilators:other dermatological preparations;5252;19;16.0121
33.9402;peripheral vasodilators:other dermatological preparations;5252;19;16.0121
33.9402;peripheral vasodilators:other dermatological preparations;5252;19;16.0121
33.9402;peripheral vasodilators:other dermatological preparations;5252;19;16.0121
33.433;cardiovascular system:agents for dermatitis excluding corticosteroids;5403;19;15.5526
33.4198;drugs for acid related disorders:peripheral vasodilators;5407;19;15.5407
33.4198;drugs for acid related disorders:peripheral vasodilators;5407;19;15.5407
33.3637;alimentary tract and metabolism:agents for dermatitis excluding corticosteroids;5424;19;15.4907
33.2193;magnesium compounds:dermatologicals;5468;19;15.3626
33.1769;drugs for acid related disorders:other dermatological preparations;5481;19;15.3251
33.1021;magnesium compounds:cardiovascular system;5504;19;15.2592
31.8456;nafarelin:betalactamase inhibitors;962;11;43.7674
30.992;nafarelin:antiinfectives for systemic use;1041;11;40.4299
29.9834;nafarelin;1143;11;36.8031
29.9754;antacids:dermatologicals;6565;19;12.7233
28.7684;antacids:cardiovascular system;7032;19;11.8497
28.6296;peripheral vasodilators:dermatologicals;7088;19;11.7527
28.6296;peripheral vasodilators:dermatologicals;7088;19;11.7527
28.5165;pituitary and hypothalamic hormones and analogues;7134;19;11.6741
28.4675;systemic hormonal preparations excl sex hormones and insulins:antiinfectives for systemic use;7154;19;11.6403
28.0936;hypothalamic hormones:sulbactam;960;10;39.1195
28.0528;pituitary and hypothalamic hormones and analogues:sulbactam;964;10;38.9564
27.9314;systemic hormonal preparations excl sex hormones and insulins:sulbactam;976;10;38.4751
27.5672;alimentary tract and metabolism:other dermatological preparations;7533;19;11.0329
27.5672;alimentary tract and metabolism:other dermatological preparations;7533;19;11.0329
27.5534;cardiovascular system:other dermatological preparations;7539;19;11.0238
27.5534;cardiovascular system:other dermatological preparations;7539;19;11.0238
27.5239;magnesium compounds:buphenine:dermatologicals;677;9;49.0702
27.5239;antacids:buphenine:dermatologicals;677;9;49.0702
27.5108;drugs for acid related disorders:buphenine:dermatologicals;678;9;48.9975
27.5108;alimentary tract and metabolism:buphenine:agents for dermatitis excluding corticosteroids;678;9;48.9975
27.4846;alimentary tract and metabolism:buphenine:other dermatological preparations;680;9;48.8529
27.4846;alimentary tract and metabolism:buphenine:other dermatological preparations;680;9;48.8529
27.0637;alimentary tract and metabolism:buphenine:dermatologicals;713;9;46.5842
26.6107;alimentary tract and metabolism:peripheral vasodilators;7960;19;10.4179
26.6107;alimentary tract and metabolism:peripheral vasodilators;7960;19;10.4179
26.0829;sulbactam;1179;10;31.818
25.3202;2amino1phenylethanol derivatives;8579;19;9.63505
24.7335;agents for dermatitis excluding corticosteroids;8878;19;9.29601
24.527;drugs for acid related disorders:dermatologicals;8986;19;9.17909
24.3243;gonadotropinreleasing hormones:tazobactam;972;9;34.1269
24.2972;pituitary and hypothalamic hormones and analogues:tazobactam;975;9;34.0214
24.1985;systemic hormonal preparations excl sex hormones and insulins:tazobactam;986;9;33.64
24.1666;magnesium compounds;9178;19;8.97804
22.8105;tazobactam;1155;9;28.6934
21.821;drugs for acid related disorders:cardiovascular system;10547;19;7.75664
21.6649;betalactam antibacterials penicillins;10646;19;7.68049
20.8171;gonadorelin:betalactamase inhibitors;970;8;29.8452
20.2748;gonadorelin:antiinfectives for systemic use;1040;8;27.8266
19.5513;buphenine:agents for dermatitis excluding corticosteroids;1681;9;19.6628
19.468;gonadorelin;1154;8;25.0633
19.0351;alimentary tract and metabolism:buphenine;1785;9;18.5075
18.8705;antacids;12615;19;6.41429
18.3066;peripheral vasodilators;14594;20;5.90896
18.3066;peripheral vasodilators;14594;20;5.90896
18.3066;magnesium compounds:peripheral vasodilators:alitretinoin;480;6;43.7544
18.3066;magnesium compounds:cardiovascular system:alitretinoin;480;6;43.7544
18.3066;antacids:peripheral vasodilators:alitretinoin;480;6;43.7544
18.3066;drugs for acid related disorders:2amino1phenylethanol derivatives:alitretinoin;480;6;43.7544
18.3066;drugs for acid related disorders:peripheral vasodilators:alitretinoin;480;6;43.7544
18.2943;alimentary tract and metabolism:2amino1phenylethanol derivatives:alitretinoin;481;6;43.6632
18.282;antacids:cardiovascular system:alitretinoin;482;6;43.5724
18.2697;drugs for acid related disorders:cardiovascular system:alitretinoin;483;6;43.482
18.2575;alimentary tract and metabolism:peripheral vasodilators:alitretinoin;484;6;43.3919
18.2575;alimentary tract and metabolism:peripheral vasodilators:alitretinoin;484;6;43.3919
17.9137;magnesium compounds:2amino1phenylethanol derivatives:tacrolimus;513;6;40.933
17.9137;magnesium compounds:peripheral vasodilators:tacrolimus;513;6;40.933
17.9137;antacids:2amino1phenylethanol derivatives:tacrolimus;513;6;40.933
17.9137;antacids:peripheral vasodilators:tacrolimus;513;6;40.933
17.9022;magnesium compounds:cardiovascular system:tacrolimus;514;6;40.8532
17.8907;alimentary tract and metabolism:2amino1phenylethanol derivatives:tacrolimus;515;6;40.7736
17.8678;antacids:cardiovascular system:tacrolimus;517;6;40.6155
17.8678;alimentary tract and metabolism:peripheral vasodilators:tacrolimus;517;6;40.6155
17.8678;alimentary tract and metabolism:peripheral vasodilators:tacrolimus;517;6;40.6155
17.8678;alimentary tract and metabolism:cardiovascular system:alitretinoin;517;6;40.6155
17.8337;drugs for acid related disorders:cardiovascular system:tacrolimus;520;6;40.3806
17.6991;alimentary tract and metabolism:2amino1phenylethanol derivatives:pimecrolimus;532;6;39.4674
17.688;magnesium compounds:peripheral vasodilators:pimecrolimus;533;6;39.3931
17.688;magnesium compounds:cardiovascular system:pimecrolimus;533;6;39.3931
17.6769;antacids:cardiovascular system:pimecrolimus;534;6;39.3191
17.6681;other dermatological preparations;13592;19;5.92219
17.6681;other dermatological preparations;13592;19;5.92219
17.6659;drugs for acid related disorders:cardiovascular system:pimecrolimus;535;6;39.2455
17.6549;alimentary tract and metabolism:peripheral vasodilators:pimecrolimus;536;6;39.172
17.6549;alimentary tract and metabolism:peripheral vasodilators:pimecrolimus;536;6;39.172
17.4073;alimentary tract and metabolism:cardiovascular system:tacrolimus;559;6;37.556
17.3028;alimentary tract and metabolism:cardiovascular system:pimecrolimus;569;6;36.8941
16.3519;magnesium compounds:isoxsuprine:agents for dermatitis excluding corticosteroids;669;6;31.3635
16.3519;magnesium compounds:isoxsuprine:dermatologicals;669;6;31.3635
16.3519;alimentary tract and metabolism:isoxsuprine:agents for dermatitis excluding corticosteroids;669;6;31.3635
16.3431;drugs for acid related disorders:isoxsuprine:other dermatological preparations;670;6;31.3166
16.3257;alimentary tract and metabolism:isoxsuprine:other dermatological preparations;672;6;31.2231
16.3169;drugs for acid related disorders:isoxsuprine:dermatologicals;673;6;31.1765
16.2305;magnesium hydroxide:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;340;5;50.6237
16.2305;magnesium hydroxide:2amino1phenylethanol derivatives:dermatologicals;340;5;50.6237
16.2305;magnesium hydroxide:peripheral vasodilators:agents for dermatitis excluding corticosteroids;340;5;50.6237
16.2305;magnesium hydroxide:peripheral vasodilators:other dermatological preparations;340;5;50.6237
16.2305;magnesium hydroxide:cardiovascular system:agents for dermatitis excluding corticosteroids;340;5;50.6237
16.216;magnesium hydroxide:peripheral vasodilators:dermatologicals;341;5;50.475
16.216;magnesium hydroxide:peripheral vasodilators:dermatologicals;341;5;50.475
16.2015;magnesium hydroxide:cardiovascular system:other dermatological preparations;342;5;50.3272
16.2015;magnesium hydroxide:cardiovascular system:other dermatological preparations;342;5;50.3272
16.0783;alimentary tract and metabolism:isoxsuprine:dermatologicals;701;6;29.927
15.9205;magnesium silicate:2amino1phenylethanol derivatives:agents for dermatitis excluding corticosteroids;362;5;47.5419
15.9205;magnesium silicate:2amino1phenylethanol derivatives:other dermatological preparations;362;5;47.5419
15.9205;magnesium silicate:2amino1phenylethanol derivatives:dermatologicals;362;5;47.5419
15.9205;magnesium silicate:peripheral vasodilators:agents for dermatitis excluding corticosteroids;362;5;47.5419
15.9205;magnesium silicate:peripheral vasodilators:other dermatological preparations;362;5;47.5419
15.9205;magnesium silicate:peripheral vasodilators:dermatologicals;362;5;47.5419
15.9205;magnesium silicate:cardiovascular system:agents for dermatitis excluding corticosteroids;362;5;47.5419
15.9069;magnesium silicate:cardiovascular system:other dermatological preparations;363;5;47.4107
15.9069;magnesium silicate:cardiovascular system:other dermatological preparations;363;5;47.4107
15.8393;magnesium hydroxide:cardiovascular system:dermatologicals;368;5;46.7654
15.614;systemic hormonal preparations excl sex hormones and insulins;15481;19;5.14687
15.5145;sodium:iron in combination with folic acid:genito urinary system and sex hormones;1935;8;14.8886
15.5145;sodium:antianemic preparations:progestogens and estrogens fixed combinations;1935;8;14.8886
15.5145;sodium:antianemic preparations:hormonal contraceptives for systemic use;1935;8;14.8886
15.5145;mineral supplements:iron in combination with folic acid:progestogens and estrogens fixed combinations;1935;8;14.8886
15.5106;mineral supplements:iron in combination with folic acid:hormonal contraceptives for systemic use;1936;8;14.8808
15.5028;sodium:blood and blood forming organs:progestogens and estrogens fixed combinations;1938;8;14.8653
15.4989;sodium:antianemic preparations:sex hormones and modulators of the genital system;1939;8;14.8576
15.4989;other mineral supplements:iron in combination with folic acid:genito urinary system and sex hormones;1939;8;14.8576
15.4989;mineral supplements:iron in combination with folic acid:sex hormones and modulators of the genital system;1939;8;14.8576
15.4989;mineral supplements:antianemic preparations:progestogens and estrogens fixed combinations;1939;8;14.8576
15.495;sodium:blood and blood forming organs:hormonal contraceptives for systemic use;1940;8;14.8499
15.495;alimentary tract and metabolism:iron in combination with folic acid:progestogens and estrogens fixed combinations;1940;8;14.8499
15.4911;sodium:iron preparations:genito urinary system and sex hormones;1941;8;14.8421
15.4834;sodium:antianemic preparations:genito urinary system and sex hormones;1943;8;14.8267
15.4756;mineral supplements:iron in combination with folic acid:genito urinary system and sex hormones;1945;8;14.8113
15.4718;alimentary tract and metabolism:iron in combination with folic acid:hormonal contraceptives for systemic use;1946;8;14.8036
15.4601;sodium:blood and blood forming organs:sex hormones and modulators of the genital system;1949;8;14.7806
15.4601;other mineral supplements:blood and blood forming organs:progestogens and estrogens fixed combinations;1949;8;14.7806
15.4524;other mineral supplements:iron preparations:sex hormones and modulators of the genital system;1951;8;14.7653
15.4216;mineral supplements:iron preparations:sex hormones and modulators of the genital system;1959;8;14.7044
15.4139;sodium:blood and blood forming organs:genito urinary system and sex hormones;1961;8;14.6893
15.4139;mineral supplements:blood and blood forming organs:progestogens and estrogens fixed combinations;1961;8;14.6893
15.3756;other mineral supplements:iron preparations:genito urinary system and sex hormones;1971;8;14.614
15.3641;alimentary tract and metabolism:iron preparations:progestogens and estrogens fixed combinations;1974;8;14.5916
15.3489;other mineral supplements:antianemic preparations:genito urinary system and sex hormones;1978;8;14.5618
15.3299;alimentary tract and metabolism:iron in combination with folic acid:sex hormones and modulators of the genital system;1983;8;14.5247
15.3185;alimentary tract and metabolism:antianemic preparations:progestogens and estrogens fixed combinations;1986;8;14.5025
15.2958;mineral supplements:iron preparations:genito urinary system and sex hormones;1992;8;14.4584
15.2845;mineral supplements:blood and blood forming organs:hormonal contraceptives for systemic use;1995;8;14.4365
15.1908;mineral supplements:antianemic preparations:genito urinary system and sex hormones;2020;8;14.256
15.1908;alimentary tract and metabolism:iron preparations:hormonal contraceptives for systemic use;2020;8;14.256
15.1685;alimentary tract and metabolism:iron in combination with folic acid:genito urinary system and sex hormones;2026;8;14.2133
15.1574;other mineral supplements:blood and blood forming organs:sex hormones and modulators of the genital system;2029;8;14.1921
14.9722;buphenine;2886;9;11.3833
14.7928;other mineral supplements:blood and blood forming organs:genito urinary system and sex hormones;2130;8;13.5122
13.624;alimentary tract and metabolism:iron preparations:genito urinary system and sex hormones;2492;8;11.5283
13.5664;sodium sulfate:iron in combination with folic acid:medroxyprogesterone and ethinylestradiol;65;3;153.796
13.5664;sodium sulfate:iron preparations:medroxyprogesterone and ethinylestradiol;65;3;153.796
13.5664;sodium sulfate:antianemic preparations:medroxyprogesterone and ethinylestradiol;65;3;153.796
13.5664;sodium sulfate:blood and blood forming organs:medroxyprogesterone and ethinylestradiol;65;3;153.796
12.7657;blood substitutes and plasma protein fractions:other centrally acting agents;1951;7;12.6889
12.7456;blood and related products:other centrally acting agents;1957;7;12.6497
12.6871;magnesium compounds:alitretinoin;1260;6;16.6032
12.6726;blood substitutes and plasma protein fractions:muscle relaxants centrally acting agents;1979;7;12.5076
12.6555;magnesium compounds:tacrolimus;1267;6;16.5109
12.6285;2amino1phenylethanol derivatives:tacrolimus;1273;6;16.4325
12.6062;drugs for acid related disorders:tacrolimus;1278;6;16.3678
12.6005;blood and related products:muscle relaxants centrally acting agents;2001;7;12.3688
12.5973;blood substitutes and plasma protein fractions:muscle relaxants;2002;7;12.3625
12.4684;blood and related products:muscle relaxants;2042;7;12.1179
12.4271;blood substitutes and perfusion solutions:other centrally acting agents;2055;7;12.0405
12.2901;alimentary tract and metabolism:tacrolimus;1351;6;15.4777
12.244;cardiovascular system:tacrolimus;1362;6;15.3519
12.1777;cardiovascular system:pimecrolimus;1378;6;15.1724
12.0355;alimentary tract and metabolism:pimecrolimus;1413;6;14.794
11.8195;sodium:antianemic preparations:medroxyprogesterone and ethinylestradiol;116;3;86.1569
11.8195;sodium:blood and blood forming organs:medroxyprogesterone and ethinylestradiol;116;3;86.1569
11.8195;alimentary tract and metabolism:iron in combination with folic acid:medroxyprogesterone and ethinylestradiol;116;3;86.1569
11.7795;blood substitutes and plasma protein fractions:musculoskeletal system;2271;7;10.8834
11.7771;magnesium hydroxide:peripheral vasodilators;846;5;20.2937
11.7431;magnesium silicate:agents for dermatitis excluding corticosteroids;852;5;20.1502
11.7257;blood substitutes and perfusion solutions:muscle relaxants centrally acting agents;2290;7;10.792
11.7206;magnesium silicate:other dermatological preparations;856;5;20.0556
11.6837;blood and blood forming organs:other centrally acting agents;2305;7;10.721
11.6814;magnesium hydroxide:other dermatological preparations;863;5;19.8922
11.5516;drugs for acid related disorders;20296;19;3.82339
11.48;magnesium silicate:2amino1phenylethanol derivatives;900;5;19.0709
11.464;magnesium silicate:peripheral vasodilators;903;5;19.0072
11.464;magnesium silicate:peripheral vasodilators;903;5;19.0072
11.4481;magnesium silicate:dermatologicals;906;5;18.944
11.3865;blood and related products:musculoskeletal system;2414;7;10.2313
11.1854;blood substitutes and perfusion solutions:muscle relaxants;2491;7;9.91113
11.0772;isoxsuprine:agents for dermatitis excluding corticosteroids;1675;6;12.4635
11.0386;magnesium silicate:cardiovascular system;987;5;17.3823
11.0008;alimentary tract and metabolism:isoxsuprine;1698;6;12.2932
10.9241;alimentary tract and metabolism:ferrous amino acid complex:progestogens and estrogens fixed combinations;484;4;27.9473
10.916;mineral supplements:ferrous amino acid complex:sex hormones and modulators of the genital system;485;4;27.8896
10.908;mineral supplements:ferrous amino acid complex:genito urinary system and sex hormones;486;4;27.832
10.9;alimentary tract and metabolism:ferrous amino acid complex:hormonal contraceptives for systemic use;487;4;27.7748
10.861;isoxsuprine:dermatologicals;1741;6;11.987
10.7838;sodium sulfate:medroxyprogesterone and ethinylestradiol;164;3;60.9256
10.7509;alimentary tract and metabolism:ferrous amino acid complex:genito urinary system and sex hormones;506;4;26.7293
10.6313;other centrally acting agents;3765;8;7.58121
9.94074;blood and blood forming organs:muscle relaxants centrally acting agents;3032;7;8.12038
9.53368;magnesium compounds:bamethan:other dermatological preparations;693;4;19.4983
9.53368;magnesium compounds:bamethan:dermatologicals;693;4;19.4983
9.52813;antacids:bamethan:other dermatological preparations;694;4;19.4701
9.52813;alimentary tract and metabolism:bamethan:agents for dermatitis excluding corticosteroids;694;4;19.4701
9.5226;antacids:bamethan:dermatologicals;695;4;19.442
9.51155;alimentary tract and metabolism:bamethan:other dermatological preparations;697;4;19.386
9.37691;pimecrolimus;2278;6;9.13645
9.37085;alimentary tract and metabolism:bamethan:dermatologicals;723;4;18.6865
9.09403;iron in combination with folic acid:medroxyprogesterone and ethinylestradiol;290;3;34.4328
8.99422;sodium:medroxyprogesterone and ethinylestradiol;300;3;33.2833
8.96495;other mineral supplements:medroxyprogesterone and ethinylestradiol;303;3;32.9533
8.92637;magnesium carbonate:2amino1phenylethanol derivatives:dermatologicals;307;3;32.5233
8.92637;magnesium carbonate:peripheral vasodilators:agents for dermatitis excluding corticosteroids;307;3;32.5233
8.92637;magnesium carbonate:peripheral vasodilators:other dermatological preparations;307;3;32.5233
8.92637;magnesium carbonate:cardiovascular system:agents for dermatitis excluding corticosteroids;307;3;32.5233
8.9168;magnesium carbonate:peripheral vasodilators:dermatologicals;308;3;32.4175
8.9168;magnesium carbonate:peripheral vasodilators:dermatologicals;308;3;32.4175
8.89416;iron in combination with folic acid:progestogens and estrogens fixed combinations;4833;8;5.87377
8.8883;magnesium carbonate:cardiovascular system:other dermatological preparations;311;3;32.1043
8.8883;magnesium carbonate:cardiovascular system:other dermatological preparations;311;3;32.1043
8.87445;iron in combination with folic acid:hormonal contraceptives for systemic use;4847;8;5.85638
8.82504;magnesium silicate;1580;5;10.8261
8.79624;iron preparations:progestogens and estrogens fixed combinations;4903;8;5.78783
8.78931;sodium:progestogens and estrogens fixed combinations;4908;8;5.78179
8.75615;antianemic preparations:progestogens and estrogens fixed combinations;4932;8;5.75295
8.74991;blood and blood forming organs:medroxyprogesterone and ethinylestradiol;326;3;30.6248
8.73004;sodium:sex hormones and modulators of the genital system;4951;8;5.73031
8.72301;magnesium peroxide:2amino1phenylethanol derivatives:dermatologicals;329;3;30.3451
8.72301;magnesium peroxide:peripheral vasodilators:agents for dermatitis excluding corticosteroids;329;3;30.3451
8.72301;magnesium peroxide:cardiovascular system:agents for dermatitis excluding corticosteroids;329;3;30.3451
8.71087;other mineral supplements:iron in combination with folic acid;4965;8;5.71374
8.70541;sodium:antianemic preparations;4969;8;5.70903
8.70523;magnesium peroxide:cardiovascular system:other dermatological preparations;331;3;30.1615
8.70523;magnesium peroxide:cardiovascular system:other dermatological preparations;331;3;30.1615
8.69041;mineral supplements:iron in combination with folic acid;4980;8;5.69609
8.68755;magnesium peroxide:peripheral vasodilators:dermatologicals;333;3;29.98
8.68755;magnesium peroxide:peripheral vasodilators:dermatologicals;333;3;29.98
8.6836;sodium:genito urinary system and sex hormones;4985;8;5.69023
8.66053;iron in combination with folic acid:genito urinary system and sex hormones;5002;8;5.6704
8.62284;blood substitutes and plasma protein fractions;3753;7;6.53634
8.62272;sodium:blood and blood forming organs;5030;8;5.63803
8.62003;mineral supplements:progestogens and estrogens fixed combinations;5032;8;5.63573
8.54917;other mineral supplements:iron preparations;5085;8;5.57547
8.50154;other mineral supplements:antianemic preparations;5121;8;5.53525
8.39323;mineral supplements:iron preparations;5204;8;5.44465
8.32003;alimentary tract and metabolism:iron in combination with folic acid;5261;8;5.38409
8.29036;sodium chloride:antianemic preparations:genito urinary system and sex hormones;960;4;14.0565
8.28553;alimentary tract and metabolism:medroxyprogesterone and ethinylestradiol;382;3;26.128
8.27073;sodium chloride:blood and blood forming organs:sex hormones and modulators of the genital system;965;4;13.9833
8.25353;isoxsuprine;2806;6;7.39746
8.2473;sodium chloride:blood and blood forming organs:genito urinary system and sex hormones;971;4;13.8965
8.20475;sodium sulfate:blood and blood forming organs:progestogens and estrogens fixed combinations;982;4;13.7401
8.19707;sodium sulfate:blood and blood forming organs:sex hormones and modulators of the genital system;984;4;13.712
8.17413;sodium sulfate:blood and blood forming organs:genito urinary system and sex hormones;990;4;13.6285
8.07172;blood and blood forming organs:progestogens and estrogens fixed combinations;5460;8;5.18255
8.06294;hyaluronic acid:technetium 99mtc pentetic acid;1;1;3225.79
8.06294;hyaluronic acid:technetium 99mtc compounds;1;1;3225.79
8.06294;oxedrine combinations:technetium 99mtc pentetic acid;1;1;3225.79
